key,name,archetype_role,hp_multiplier,atk,mag,def,res,spd,atk_crit,mag_crit,evade,thorns,charge_action,charge_action_effect,slot1_condition,slot1_action,slot2_condition,slot2_action,damage_taken_multiplier,affinity_fire,affinity_water,affinity_earth,affinity_air,affinity_light,affinity_dark,affinity_body,affinity_spirit,size,design_note
wolf,Roadwolf,baseline,1.00,21,8,6,4,18,0.04,0.04,0.05,0,,,none,bite,none,bite,1.00,0,0,0,0,0,0,0,0,1.0,The reference enemy. Every other archetype is a deviation from this.
knight,Barrow Knight,armoured,0.85,19,8,17,10,17,0.03,0.04,0.02,0,,,none,bite,none,bite,0.54,0,0,3,0,0,0,2,0,1.1,Very high DEF. The reason Pierce exists - Pierce beats Strike only here.
hound,Mire Hound,fast_evasive,0.60,15,8,4,3,25,0.08,0.04,0.10,0,quickenedhowl,Hastes itself for 3 turns,none,rake,none,rake,1.16,0,0,0,3,-3,0,0,0,0.85,Fastest enemy and highest crit. Low HP. Punishes slow parties. A creature of the mire's gloom - weak to Light.
ox,Stone Ox,heavy,1.60,27,8,10,7,14,0.05,0.04,0.01,0,sunderingroar,Enfeebles the whole party 3 turns,none,maul,none,maul,0.80,0,-3,1,0,0,0,4,0,1.25,Biggest HP pool and hardest hitter. Slowest enemy. Stone wears down under running Water - weak to it.
priest,Fen Priest,healer,0.55,12,23,7,11,19,0.03,0.04,0.03,0,,,ally_hp_lte_30,knitbone,none,bite,0.94,0,0,0,0,1,0,0,4,0.95,Only enemy that heals. High RES. Kill first or the fight stalls. Heals at 30% ally HP (Ian: lowered from 60%).
shrike,Thorn Shrike,reflect,0.80,17,8,7,13,20,0.05,0.04,0.06,0.06,,,none,bite,none,bite,0.91,-3,0,0,0,0,2,1,0,1.0,Reflects 6% of physical damage. High RES. The reason Gale exists. Dry bramble growth - weak to Fire.
boss,Barrow Warden,boss,1.40x_len,uses_rotation,,,,,,,,wardensmaul,Heavy single target power 3.10 crit_bonus 0.10,none,bite,none,bite,,,,,,,,,,,,Boss modifier applied to a rotation archetype. charge_rate 1.15. BOSS_LEN 1.40.
cinderimp,Cinder Imp,elemental_fire,0.75,10,22,5,9,20,0.03,0.06,0.05,0,,,foe_weak_fire,scorch,none,scorch,1.00,15,-15,0,0,0,0,0,0,0.85,Elemental batch. Fragile fire caster - resists Fire hard and drowns under Water. Hunts Fire-weak party members first.
tidewraith,Tide Wraith,elemental_water,0.95,10,20,7,12,17,0.03,0.05,0.04,0,,,foe_weak_water,drench,none,drench,1.00,-15,15,0,0,0,0,0,0,1.0,Elemental batch. Water caster whose Drench briefly Slows. Resists Water - burn it with Fire.
cragback,Crag Golem,elemental_earth,1.45,25,8,14,5,13,0.04,0.04,0.01,0,,,foe_weak_earth,rockfall,none,rockfall,1.00,0,0,15,-15,0,0,0,0,1.2,Elemental batch. Slow high-DEF Earth bruiser with low RES. Air cuts through it.
galeharpy,Gale Harpy,elemental_air,0.70,18,8,5,6,26,0.08,0.04,0.12,0,,,foe_weak_air,talon,none,talon,1.00,0,0,-15,15,0,0,0,0,0.9,Elemental batch. Fast evasive Air striker with quick light hits. Earth brings it down.
dawnacolyte,Dawn Acolyte,elemental_light,0.85,12,21,8,13,18,0.03,0.05,0.04,0,,,foe_weak_light,glare,none,glare,1.00,0,0,0,0,15,-15,0,0,0.95,Elemental batch. Light caster whose Glare briefly Blinds. Dark magic unravels it.
umbralstalker,Umbral Stalker,elemental_dark,0.80,23,8,6,6,22,0.07,0.04,0.08,0,,,foe_weak_dark,shadowbite,none,shadowbite,1.00,0,0,0,0,-15,15,0,0,1.0,Elemental batch. Crit-prone Dark melee hunter. Light burns it away.
pyretyrant,Pyre Tyrant,boss,1.00,16,24,9,12,15,0.05,0.06,0.02,0,inferno,AoE Fire + Burning,foe_weak_fire,scorch,none,scorch,,15,-15,0,0,0,0,0,0,1.2,Elemental boss (boss rotation). HP comes from the shared boss formula - hp_multiplier unused. Bring Water.
drownedmatriarch,Drowned Matriarch,boss,1.00,14,26,10,14,15,0.05,0.05,0.03,0,undertow,AoE Water + Slowed,foe_weak_water,drench,none,drench,,-15,15,0,0,0,0,0,0,1.15,Elemental boss (boss rotation). Bring Fire.
mountaincolossus,Mountain Colossus,boss,1.00,26,8,14,7,12,0.05,0.04,0.01,0,earthshatter,Heavy single-target Earth,foe_weak_earth,rockfall,none,rockfall,,0,0,15,-15,0,0,0,0,1.3,Elemental boss (boss rotation). Huge DEF - magic and Air.
stormroc,Storm Roc,boss,1.00,21,8,8,8,16,0.07,0.04,0.03,0,cyclone,AoE Air,foe_weak_air,talon,none,talon,,0,0,-15,15,0,0,0,0,1.2,Elemental boss (boss rotation). Fast and evasive. Bring Earth.
dawnseraph,Dawn Seraph,boss,1.00,14,27,11,15,16,0.04,0.06,0.03,0,judgment,Heavy single-target Light + Blinded,foe_weak_light,glare,none,glare,,0,0,0,0,15,-15,0,0,1.2,Elemental boss (boss rotation). Bring Dark.
hollowking,Hollow King,boss,1.00,26,20,11,11,16,0.06,0.05,0.03,0,eclipse,AoE Dark + Frail,foe_weak_dark,shadowbite,none,shadowbite,,0,0,0,0,-15,15,0,0,1.25,Elemental boss (boss rotation). Bring Light.
