id,name,slot,rarity,atk,mag,def,res,spd,evade,affinity_fire,affinity_water,affinity_earth,affinity_air,affinity_light,affinity_dark,affinity_body,affinity_spirit,design_note
travelersboots,Traveler's Boots,legs,common,,,,,6,0.020,,,,,,,,,"Legs grant speed and evasion only, per design - no affinity slot here. Common: flat baseline."
windstepgreaves,Windstep Greaves,legs,rare,,,,,8,0.025,,,,,,,,,"Rare: spd/evade scaled up ~25% over Traveler's Boots' baseline (RARITY_POWER_MUL.rare)."
skyboundsabatons,Skybound Sabatons,legs,legendary,,,,,9,0.031,,,,,,,,,"Legendary: spd/evade scaled up ~55% over the Common baseline (RARITY_POWER_MUL.legendary)."
ironcap,Iron Cap,head,common,,,4,4,,,3,,,,,,,,"Head/body grant def+res+one affinity axis. Common: flat baseline, Fire-leaning."
wardedhelm,Warded Helm,head,rare,,,5,5,,,,4,,,,,,,"Rare: def/res/affinity scaled up ~25% over Iron Cap's baseline, Water-leaning."
crownofthebulwark,Crown of the Bulwark,head,legendary,,,6,6,,,,,5,,,,,,"Legendary: def/res/affinity scaled up ~55% over the Common baseline, Earth-leaning."
paddedvest,Padded Vest,body,common,,,4,4,,,,,,3,,,,,"Common: flat baseline, Air-leaning."
chainweavemail,Chainweave Mail,body,rare,,,5,5,,,,,,,4,,,,"Rare: def/res/affinity scaled up ~25% over Padded Vest's baseline, Light-leaning."
aegisofthedeep,Aegis of the Deep,body,legendary,,,6,6,,,,,,,,5,,,"Legendary: def/res/affinity scaled up ~55% over the Common baseline, Dark-leaning."
worngauntlet,Worn Gauntlet,hand,common,5,5,,,,,,,,,,,3,,"Hand grants atk+mag+one affinity axis - fits either hand slot; own 2 copies to dual-wield the same piece. Common: flat baseline, Body-leaning."
runedbracer,Runed Bracer,hand,rare,6,6,,,,,,,,,,,,4,"Rare: atk/mag/affinity scaled up ~25% over Worn Gauntlet's baseline, Spirit-leaning."
emberfist,Emberfist,hand,legendary,8,8,,,,,5,,,,,,,,"Legendary: atk/mag/affinity scaled up ~55% over the Common baseline, Fire-leaning (wraps the 8-axis cycle back to Fire)."
racersstriders,Racer's Striders,legs,common,,,,,9,0.01,,,,,,,,,"Elemental grid sibling set (v2.15): Swift archetype, speed-leaning over evasion. Common: flat baseline."
windrunnerstriders,Windrunner Striders,legs,rare,,,,,11,0.013,,,,,,,,,"Swift archetype. Rare: spd/evade scaled up ~25% over Racer's Striders' baseline."
tempeststriders,Tempest Striders,legs,legendary,,,,,14,0.016,,,,,,,,,"Swift archetype. Legendary: spd/evade scaled up ~55% over the Common baseline."
nimbleslippers,Nimble Slippers,legs,common,,,,,3,0.032,,,,,,,,,"Evasive archetype, evasion-leaning over speed - same total budget as the Swift archetype, opposite split. Common: flat baseline."
phantomslippers,Phantom Slippers,legs,rare,,,,,4,0.04,,,,,,,,,"Evasive archetype. Rare: spd/evade scaled up ~25% over Nimble Slippers' baseline."
wornsandals,Worn Sandals,legs,common,,,,,8,0.015,,,,,,,,,"A 4th Common alternative splitting the difference between the Balanced and Swift archetypes."
sentinelscap,Sentinel's Cap,head,common,,,6,2,,,,,,3,,,,,"Bulwark archetype, DEF-leaning over RES - same def+res budget as Balanced (Iron Cap), opposite split. Common: flat baseline, Air-leaning."
blessedcoif,Blessed Coif,head,common,,,2,6,,,,,,,3,,,,"Warded archetype, RES-leaning over DEF. Common: flat baseline, Light-leaning."
shadowedhood,Shadowed Hood,head,common,,,5,3,,,,,,,,3,,,"A 4th Common alternative splitting the difference between Balanced and Bulwark. Dark-leaning."
vanguardhelm,Vanguard Helm,head,rare,,,8,3,,,,,,,,,4,,"Bulwark archetype. Rare: def/res/affinity scaled up ~25% over Sentinel's Cap's baseline, Body-leaning."
serenecirclet,Serene Circlet,head,rare,,,3,8,,,,,,,,,,4,"Warded archetype. Rare: def/res/affinity scaled up ~25% over Blessed Coif's baseline, Spirit-leaning."
stormguardcrown,Stormguard Crown,head,legendary,,,9,3,,,,,,5,,,,,"Bulwark archetype. Legendary: def/res/affinity scaled up ~55% over the Common baseline, Air-leaning."
ironcladvest,Ironclad Vest,body,common,,,6,2,,,3,,,,,,,,"Bulwark archetype, DEF-leaning over RES. Common: flat baseline, Fire-leaning."
tidewovenrobe,Tidewoven Robe,body,common,,,2,6,,,,3,,,,,,,"Warded archetype, RES-leaning over DEF. Common: flat baseline, Water-leaning."
rootplatejerkin,Rootplate Jerkin,body,common,,,5,3,,,,,3,,,,,,"A 4th Common alternative splitting the difference between Balanced and Bulwark. Earth-leaning."
bastionplate,Bastion Plate,body,rare,,,8,3,,,,,,,,,4,,"Bulwark archetype. Rare: def/res/affinity scaled up ~25% over Ironclad Vest's baseline, Body-leaning."
hallowedvestments,Hallowed Vestments,body,rare,,,3,8,,,,,,,,,,4,"Warded archetype. Rare: def/res/affinity scaled up ~25% over Tidewoven Robe's baseline, Spirit-leaning."
emberforgedplate,Emberforged Plate,body,legendary,,,9,3,,,5,,,,,,,,"Bulwark archetype. Legendary: def/res/affinity scaled up ~55% over the Common baseline, Fire-leaning."
riptideknuckles,Riptide Knuckles,hand,common,8,2,,,,,,3,,,,,,,"Brawler archetype, ATK-leaning over MAG - same atk+mag budget as Balanced (Worn Gauntlet), opposite split. Common: flat baseline, Water-leaning."
stonewovengloves,Stonewoven Gloves,hand,common,2,8,,,,,,,3,,,,,,"Arcane archetype, MAG-leaning over ATK. Common: flat baseline, Earth-leaning."
zephyrgrips,Zephyr Grips,hand,common,6,4,,,,,,,,3,,,,,"A 4th Common alternative splitting the difference between Balanced and Brawler. Air-leaning."
radiantknuckles,Radiant Knuckles,hand,rare,10,3,,,,,,,,,4,,,,"Brawler archetype. Rare: atk/mag/affinity scaled up ~25% over Riptide Knuckles' baseline, Light-leaning."
voidwovengloves,Voidwoven Gloves,hand,rare,3,10,,,,,,,,,,4,,,"Arcane archetype. Rare: atk/mag/affinity scaled up ~25% over Stonewoven Gloves' baseline, Dark-leaning."
maelstromfists,Maelstrom Fists,hand,legendary,12,3,,,,,,5,,,,,,,"Brawler archetype. Legendary: atk/mag/affinity scaled up ~55% over the Common baseline, Water-leaning."
